CustomerID,State,CLV,Response,Coverage,Education,EffectiveToDate,EmploymentStatus,Gender,Income
BU79786,Washington,2763.519279,No,Basic,Bachelor,2/24/2011,Employed,F,56274
QZ44356,Arizona,6979.535903,No,Extended,Bachelor,1/31/2011,Unemployed,F,
AI49188,Nevada,12887.43165,No,Premium,Bachelor,2/19/2011,Employed,F,48767
WW63253,California,7645.861827,No,Basic,Bachelor,1/20/2011,Unemployed,M,
HB64268,Washington,2813.692575,No,Basic,Bachelor,2/3/2011,Employed,M,43836
OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,1/25/2011,Employed,F,62902
XZ87318,Oregon,5380.898636,Yes,Basic,College,2/24/2011,Employed,F,55350
CF85061,Arizona,7216.100311,No,Premium,Master,1/18/2011,Unemployed,M,
DY87989,Oregon,24127.50402,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072
BQ94931,Oregon,7388.178085,No,Extended,College,2/17/2011,Employed,F,28812
SX51350,California,4738.992022,No,Basic,College,2/21/2011,Unemployed,M,
VQ65197,California,8197.197078,No,Basic,College,1/6/2011,Unemployed,F,
DP39365,California,8798.797003,No,Premium,Master,2/6/2011,Employed,M,77026
SJ95423,Arizona,8819.018934,Yes,Basic,High School or Below,1/10/2011,Employed,M,99845
IL66569,California,5384.431665,No,Basic,College,1/18/2011,Employed,M,83689
BW63560,Oregon,7463.139377,No,Basic,Bachelor,1/17/2011,Employed,F,24599
FV94802,Nevada,2566.867823,No,Basic,High School or Below,2/6/2011,Medical Leave,M,25049
OE15005,California,3945.241604,No,Basic,College,1/5/2011,Medical Leave,M,28855
WC83389,Oregon,5710.333115,No,Basic,College,2/27/2011,Employed,M,51148
FL50705,California,8162.617053,No,Premium,High School or Below,1/14/2011,Employed,F,66140
ZK25313,Oregon,2872.051273,No,Basic,High School or Below,2/19/2011,Employed,M,57749
SV62436,Washington,3041.791561,No,Extended,Bachelor,1/21/2011,Disabled,F,13789
YH23384,Arizona,24127.50402,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072
TZ98966,Nevada,2450.190996,No,Basic,Bachelor,2/24/2011,Unemployed,F,
HM55802,California,2392.10789,No,Basic,Bachelor,2/5/2011,Disabled,F,17870
FS42516,Oregon,5802.065978,No,Basic,College,1/29/2011,Employed,M,97541
US89481,California,3946.372085,No,Premium,Bachelor,2/28/2011,Unemployed,F,
HO30839,Washington,5346.916576,No,Extended,Master,2/12/2011,Disabled,F,10511
GE62437,Arizona,12902.56014,No,Premium,College,2/2/2011,Employed,F,86584
EJ77678,Oregon,3235.360468,No,Extended,Master,2/7/2011,Employed,F,75690
SV85652,Arizona,2454.58354,No,Basic,College,2/28/2011,Employed,M,23158
UL64533,Nevada,18975.45611,No,Extended,High School or Below,1/22/2011,Employed,M,65999
PF41800,California,4715.321344,No,Basic,Bachelor,1/25/2011,Unemployed,M,
