CustomerID,LocationCode,MaritalStatus,MonthlyPremiumAuto,MonthsSinceLastClaim,MonthsSincePolicyInception,NumberofOpenComplaints,NumberofPolicies,PolicyType,Policy,RenewOfferType,SalesChannel,TotalClaimAmount,VehicleClass,VehicleSize
BU79786,Suburban,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Offer1,Agent,384.811147,Two-Door Car,Medsize
QZ44356,Suburban,Single,94,13,42,0,8,Personal Auto,Personal L3,Offer3,Agent,1131.464935,Four-Door Car,Medsize
AI49188,Suburban,Married,108,18,38,0,2,Personal Auto,Personal L3,Offer1,Agent,566.472247,Two-Door Car,Medsize
WW63253,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,529.881344,SUV,Medsize
HB64268,Rural,Single,73,12,44,0,1,Personal Auto,,Offer1,Agent,138.130879,Four-Door Car,Medsize
OC83172,Rural,Married,69,14,94,0,2,Personal Auto,,Offer2,Web,159.383042,Two-Door Car,Medsize
XZ87318,Suburban,Married,67,0,13,0,9,Corporate Auto,,Offer1,Agent,321.6,Four-Door Car,Medsize
CF85061,Urban,Single,101,0,68,0,4,Corporate Auto,,Offer1,Agent,363.02968,Four-Door Car,Medsize
DY87989,Suburban,Divorced,71,13,3,0,2,Corporate Auto,,Offer1,Agent,511.2,Four-Door Car,Medsize
BQ94931,Urban,Married,93,17,7,0,8,Special Auto,,Offer2,Branch,425.527834,Four-Door Car,Medsize
SX51350,Suburban,Single,67,23,5,0,3,Personal Auto,,Offer1,Agent,482.4,Four-Door Car,Small
VQ65197,Suburban,Married,110,27,87,0,3,Personal Auto,,Offer2,Agent,528,SUV,Medsize
DP39365,Urban,Married,110,9,82,2,3,Corporate Auto,,Offer2,Agent,472.029737,Four-Door Car,Medsize
SJ95423,Suburban,Married,110,23,25,1,8,Corporate Auto,,Offer2,Branch,528,SUV,Medsize
IL66569,Urban,Single,70,21,10,2,8,Corporate Auto,,Offer4,Call Center,307.139132,Four-Door Car,Medsize
BW63560,Rural,Married,64,12,50,1,2,Corporate Auto,,Offer2,Branch,42.920271,Four-Door Car,Medsize
FV94802,Suburban,Married,67,14,7,0,1,Personal Auto,,Offer2,Call Center,454.245098,Two-Door Car,Medsize
OE15005,Suburban,Married,101,12,59,0,1,Personal Auto,,Offer3,Call Center,647.442031,SUV,Medsize
WC83389,Urban,Married,72,9,1,0,7,Personal Auto,,Offer2,Branch,308.981664,Four-Door Car,Medsize
FL50705,Suburban,Married,101,11,21,0,3,Corporate Auto,,Offer1,Call Center,484.8,Four-Door Car,Small
ZK25313,Suburban,Single,74,31,21,0,1,Personal Auto,,Offer1,Branch,355.2,Two-Door Car,Medsize
SV62436,Suburban,Divorced,79,8,49,0,1,Personal Auto,,Offer4,Call Center,379.2,Four-Door Car,Medsize
YH23384,Suburban,Divorced,71,13,3,0,2,Personal Auto,,Offer1,Agent,511.2,Four-Door Car,Medsize
TZ98966,Suburban,Single,73,4,44,3,1,Corporate Auto,,Offer1,Branch,554.376763,Four-Door Car,Medsize
HM55802,Suburban,Married,61,30,91,0,1,Corporate Auto,,Offer2,Branch,439.2,Four-Door Car,Medsize
FS42516,Suburban,Married,72,22,1,0,3,Personal Auto,,Offer2,Call Center,389.185006,Four-Door Car,Large
US89481,Suburban,Single,111,15,47,0,1,Personal Auto,,Offer1,Agent,799.2,Four-Door Car,Small
HO30839,Urban,Married,139,33,64,0,1,Corporate Auto,,Offer1,Branch,516.237951,SUV,Medsize
GE62437,Suburban,Single,111,33,54,2,2,Personal Auto,,Offer1,Call Center,532.8,Four-Door Car,Large
EJ77678,Suburban,Married,80,17,44,1,1,Personal Auto,,Offer2,Branch,384,Four-Door Car,Small
SV85652,Suburban,Married,63,4,6,1,1,Personal Auto,,Offer4,Call Center,322.294043,Four-Door Car,Small
UL64533,Urban,Married,237,1,14,0,6,Corporate Auto,,Offer2,Agent,615.927769,Luxury SUV,Medsize
PF41800,Urban,Married,65,19,56,0,3,Personal Auto,,Offer1,Call Center,308.15089,Four-Door Car,Medsize
AO98601,Suburban,Married,63,28,17,0,6,Corporate Auto,,Offer1,Agent,302.4,Two-Door Car,Small
SK67821,Rural,Married,62,19,42,0,8,Corporate Auto,,Offer3,Web,15.437681,Four-Door Car,Medsize
YV55495,Urban,Married,71,11,40,0,6,Personal Auto,,Offer1,Branch,204.475147,Four-Door Car,Medsize
KY38074,Suburban,Married,117,10,62,0,2,Personal Auto,,Offer1,Agent,561.6,Four-Door Car,Small
DM79012,Suburban,Married,91,19,86,0,8,Personal Auto,,Offer2,Web,436.8,Four-Door Car,Small
CM61827,Suburban,Single,90,7,79,0,1,Personal Auto,,Offer3,Agent,648,Two-Door Car,Small
WC35801,Rural,Divorced,66,4,15,2,1,Personal Auto,,Offer1,Call Center,157.397849,Four-Door Car,Medsize
QG25316,Suburban,Married,70,7,1,1,1,Corporate Auto,,Offer3,Call Center,484.318536,Two-Door Car,Medsize
MB98372,Rural,Single,71,3,32,0,1,Corporate Auto,,Offer2,Agent,18.918935,Two-Door Car,Medsize
IL19217,Suburban,Married,99,12,28,0,1,Personal Auto,,Offer2,Agent,882.871945,Four-Door Car,Small
SR38658,Suburban,Married,103,15,16,0,2,Personal Auto,,Offer4,Agent,494.4,Sports Car,Medsize
DH41343,Suburban,Married,61,15,56,0,1,Special Auto,,Offer2,Call Center,292.8,Four-Door Car,Large
HG65722,Rural,Married,172,5,4,3,3,Personal Auto,,Offer1,Branch,0.517753,SUV,Medsize
BU27331,Suburban,Single,73,7,57,3,5,Personal Auto,,Offer3,Call Center,579.165954,Four-Door Car,Medsize
XM45289,Suburban,Single,71,7,10,0,4,Personal Auto,,Offer4,Agent,447.79344,Two-Door Car,Medsize
KP34198,Suburban,Married,92,11,77,0,1,Corporate Auto,,Offer2,Call Center,529.624084,Four-Door Car,Medsize
SH90947,Suburban,Married,62,11,56,0,1,Personal Auto,,Offer4,Branch,313.023175,Four-Door Car,Medsize
WE95729,Suburban,Married,104,1,28,0,2,Personal Auto,,Offer1,Agent,593.830288,SUV,Small
PY51963,Suburban,Divorced,106,18,95,0,2,Corporate Auto,,Offer1,Web,508.8,SUV,Medsize
RB69909,Rural,Married,69,4,40,3,2,Special Auto,,Offer4,Branch,173.956072,Four-Door Car,Medsize
XR95069,Suburban,Single,64,19,44,0,3,Personal Auto,,Offer4,Agent,307.2,Four-Door Car,Medsize
FR46645,Suburban,Married,113,20,26,0,1,Personal Auto,,Offer1,Branch,831.625979,Four-Door Car,Small
SY17488,Suburban,Divorced,91,1,53,0,3,Corporate Auto,,Offer3,Call Center,436.8,Four-Door Car,Small
AP67935,Urban,Married,64,24,59,0,2,Special Auto,,Offer2,Branch,302.56519,Four-Door Car,Medsize
FS37417,Suburban,Married,101,29,12,0,1,Personal Auto,,Offer1,Call Center,484.8,SUV,Small
ML29312,Suburban,Divorced,124,34,47,2,1,Personal Auto,,Offer1,Call Center,704.768111,SUV,Medsize
UB61619,Suburban,Divorced,108,4,98,0,1,Personal Auto,,Offer1,Agent,518.4,Four-Door Car,Medsize
CD86811,Suburban,Divorced,65,1,36,1,3,Personal Auto,,Offer1,Agent,312,Four-Door Car,Medsize
RU83859,Suburban,Married,105,4,50,0,6,Personal Auto,,Offer1,Call Center,504,Two-Door Car,Small
FG63582,Suburban,Single,94,20,53,0,1,Personal Auto,,Offer1,Agent,863.327324,Two-Door Car,Small
NN71951,Rural,Married,100,0,86,0,2,Personal Auto,,Offer1,Agent,104.331355,SUV,Medsize
WB37082,Suburban,Single,63,21,28,0,2,Personal Auto,,Offer3,Branch,676.391482,Four-Door Car,Large
SM52139,Suburban,Married,73,29,71,0,1,Personal Auto,,Offer3,Web,350.4,Four-Door Car,Medsize
FL82372,Suburban,Divorced,112,7,60,0,3,Corporate Auto,,Offer1,Agent,537.6,SUV,Medsize
DP45816,Urban,Married,97,5,65,0,2,Personal Auto,,Offer4,Branch,465.258644,Two-Door Car,Small
GW33762,Suburban,Divorced,95,13,20,0,5,Personal Auto,,Offer1,Call Center,456,Two-Door Car,Large
RZ33670,Suburban,Married,102,17,0,0,2,Personal Auto,,Offer3,Web,500.254235,Four-Door Car,Medsize
PY70169,Rural,Divorced,113,17,12,0,2,Personal Auto,,Offer4,Agent,281.451042,SUV,Medsize
MO91628,Rural,Married,65,29,27,0,1,Personal Auto,,Offer2,Web,5.434505,Two-Door Car,Large
HW87852,Suburban,Married,64,1,47,2,1,Personal Auto,,Offer1,Agent,307.2,Four-Door Car,Medsize
HB20453,Suburban,Single,104,30,3,1,5,Personal Auto,,Offer1,Agent,982.399613,Sports Car,Medsize
