ID,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Sex
1826,0,0,0,0,0,1,0,SP,0
1,0,0,0,0,1,1,0,CA,0
10476,0,0,0,0,0,0,0,US,0
1386,0,0,0,0,0,0,0,AUS,0
5371,1,0,0,0,0,1,0,SP,0
7348,0,0,0,0,0,1,0,SP,0
4073,1,0,0,0,0,1,0,GER,0
1991,0,0,0,0,0,0,0,SP,0
4047,0,0,0,0,0,0,0,US,0
9477,0,0,0,0,0,0,0,IND,0
2079,0,0,0,0,0,0,0,US,0
5642,0,0,0,0,0,0,0,SP,0
10530,0,0,0,0,0,1,0,IND,0
2964,0,0,0,0,0,0,0,CA,0
10311,0,0,0,0,0,0,0,SP,0
837,0,0,0,0,0,0,0,SP,0
10521,0,0,0,0,0,1,0,SP,0
10175,0,0,0,0,0,0,0,SP,0
1473,0,0,0,0,0,0,0,CA,0
2795,0,0,0,0,0,0,0,CA,0
2285,0,0,0,0,0,0,0,SA,
115,0,0,0,0,0,0,0,IND,
10470,0,0,0,0,0,0,0,GER,
4065,0,0,0,0,0,0,0,SP,
10968,0,0,0,0,0,0,0,IND,
5985,0,0,0,0,0,0,0,SP,
5430,0,0,0,0,0,0,0,SP,
8432,0,0,0,0,0,0,0,SP,
453,0,0,0,0,0,0,0,SP,
9687,0,0,0,0,0,0,0,CA,
8890,0,0,0,0,0,0,0,SP,
9264,0,0,0,0,0,0,0,CA,
5824,0,0,0,0,0,0,0,AUS,
5794,0,1,0,1,0,1,0,IND,
3068,0,0,0,0,0,0,0,SP,
7962,0,0,1,1,0,1,0,SP,
2681,0,0,0,0,0,0,0,SP,
10141,0,0,0,0,0,0,0,SA,
3725,0,1,1,1,1,1,0,SP,
3767,0,0,0,0,0,0,0,SP,
5585,0,0,0,0,0,1,0,CA,
7030,0,0,0,1,0,0,0,SP,
1524,0,0,0,1,0,1,0,SP,
3657,0,0,0,0,0,0,0,SP,
5740,0,0,0,0,0,1,0,SP,
9595,0,0,0,0,0,1,0,SP,
3158,0,0,0,0,0,0,0,SP,
5114,0,0,0,0,0,0,0,AUS,
340,1,0,0,0,0,1,0,GER,
8805,0,0,0,0,0,0,0,US,
1241,0,0,0,0,0,1,0,GER,
1402,0,0,0,0,0,0,0,GER,
7264,0,0,0,0,0,0,0,SA,
1619,0,0,0,0,0,1,0,SP,
6398,0,0,0,0,0,0,0,SP,
1857,0,0,0,0,0,1,0,SP,
4877,0,0,0,0,0,0,0,IND,
3066,0,0,0,0,0,0,0,SA,
10286,0,0,0,0,0,0,0,SA,
1992,0,0,0,1,0,1,0,SP,
4246,0,0,0,0,0,0,0,SP,
10623,0,0,0,0,0,0,0,SP,
4867,0,0,0,0,0,0,0,SP,
3112,0,0,0,0,0,0,0,SP,
4865,0,0,0,0,0,1,0,AUS,
6287,0,0,0,0,0,1,0,SP,
4405,0,0,0,0,0,0,0,AUS,
5332,0,0,0,0,0,0,0,IND,
1519,0,0,0,0,0,1,0,SP,
9080,0,0,0,0,0,0,0,SP,
1772,0,0,1,1,0,1,0,CA,
5341,0,0,1,0,0,0,0,SA,
5510,0,0,0,0,0,0,0,SP,
3887,0,0,0,0,0,1,0,IND,
7022,0,0,0,0,0,0,0,SA,
9999,0,0,0,0,0,0,0,SP,
10352,0,0,0,0,0,1,0,SA,
7919,0,0,0,0,0,1,0,SP,
4114,0,0,0,0,0,0,0,AUS,
7990,0,0,0,0,0,0,0,CA,
9888,0,0,0,0,0,0,0,SP,
4399,0,0,0,0,0,0,0,CA,
4452,0,1,0,1,0,1,0,GER,
4785,0,0,0,0,0,0,0,SA,
8461,0,0,0,0,0,0,0,SP,
3878,0,0,0,0,0,0,0,SP,
9612,0,0,0,0,0,0,0,SP,
4098,0,0,0,0,0,0,0,AUS,
158,1,0,0,0,0,1,0,SP,
3896,0,0,0,0,0,0,0,SP,
9970,0,0,0,0,0,0,0,CA,
4002,0,0,0,0,0,0,0,SP,
10914,0,0,0,0,0,0,0,SP,
7279,0,0,0,0,0,0,0,US,
10582,0,0,0,0,0,0,0,GER,
4470,0,0,0,0,0,0,0,SP,
6183,0,0,0,0,0,0,0,GER,
6379,0,0,0,0,0,1,0,US,
8601,0,0,0,0,0,0,0,AUS,
4827,0,0,0,0,0,1,0,SP,
6715,0,0,0,0,0,0,0,SP,
10676,0,0,0,0,0,1,0,SP,
1041,0,0,0,0,0,1,0,SA,
492,0,0,0,0,0,0,0,CA,
11133,0,0,0,0,0,1,0,IND,
4491,0,1,0,0,0,0,0,SP,
873,0,1,0,0,0,1,0,SP,
1631,0,0,0,0,0,1,0,GER,
8278,0,0,0,0,0,0,0,SP,
6815,1,0,1,1,0,1,0,SP,
254,0,1,0,0,0,0,0,SP,
1349,0,0,0,0,0,0,0,IND,
2534,0,0,0,0,0,0,0,AUS,
2130,0,0,0,0,0,1,0,SA,
2296,1,0,0,0,0,0,0,SP,
3799,0,0,0,0,0,0,0,US,
11084,0,0,0,0,0,1,0,CA,
5172,0,0,0,0,0,0,0,SP,
9504,0,0,0,0,0,1,0,SP,
850,0,0,0,0,0,0,0,SP,
4477,0,0,0,0,0,0,0,GER,
1945,0,1,0,1,0,0,0,SP,
7685,0,0,0,0,0,0,0,SP,
6310,0,0,0,0,0,0,0,CA,
10832,0,0,0,0,0,0,0,SP,
3025,0,0,0,0,0,0,0,CA,
2404,0,0,0,0,0,0,0,US,
8581,0,0,0,0,0,0,0,SP,
8755,0,0,0,0,0,0,0,AUS,
10177,0,0,0,0,0,0,0,SP,
2429,0,0,0,0,0,0,0,CA,
8920,0,0,0,0,0,0,0,IND,
8430,0,0,0,0,0,0,0,AUS,
8619,0,0,0,0,0,0,0,SP,
8996,0,0,0,0,0,0,0,GER,
7233,0,0,0,1,0,0,0,CA,
6678,0,0,0,0,0,0,0,IND,
830,0,0,1,1,0,1,0,IND,
6365,0,0,0,0,0,0,0,IND,
6770,1,0,0,0,0,1,0,US,
2261,0,0,0,0,0,0,0,GER,
1031,0,0,1,0,0,0,0,IND,
10089,0,1,1,1,1,1,0,SA,
9256,0,0,0,0,0,0,0,SP,
10641,0,0,0,0,0,0,0,SP,
624,1,0,0,0,0,1,0,SA,
4211,0,0,0,0,0,0,0,CA,
1407,0,0,0,0,0,0,0,GER,
10356,0,0,0,0,0,0,0,SP,
9323,1,0,0,0,0,1,0,ME,
